Question	Answer	Marks
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation:-We define Empirical relation on individual (single) element or entity.  (b)Binary relation:-We define Empirical relation between exactly two entities.  (c)Ternary relation:- We define relation between more than two entities.  (ii)Rules of mapping:-  -When we have map the attribute of entity from real world to mathematical world, we have many choices for mapping and range.  -Mapping may be different depending upon conventions we adopt.  -Measures must specify domain, range as well as rules of mapping.  (iii)Representation condition of measurement:-  -Representation condition states that a measurement mapping M must map entities into numbers and Empirical relations into numerical relation (mathematical relation) in such a way that Empirical relations are preserved and are preserved by mathematical relations.  -Here Empirical relation “taller than” is mapped to the numerical relation “>”.  -We can say that A is higher number than B only if A is taller than B. For Empirical relation (binary) “taller than”, we have numerical relation A>B.  For unempirical relation, “is tall”, we have numerical relation A>70.	4
What is representational theory of measurement Explain in detail	There are several types of representational theory for measurement and some of them are given below  (i)Empirical relation:-In Empirical relation there are three types of relations depending on the relation we define on single element of a set or on collection  of elements.  (a)Unary relation:-We define the Empirical relation on single entity.  (b)Binary relation:-We define Empirical relation between exactly two entities.  (c)Ternary relation :- We define relation between more than two entities. For example, if there are three instances as given below  A is taller than B.  A is tallest, B is tall, C is not tall.  C is taller than A when sitting on B’s shoulder.  Given any two people, x and y, we can say that   x  is taller than y or  y is taller than x.  Therefore we can say that “taller than” is a Empirical relation (binary) for height.  Similarly “is tall” is a unary Empirical relation.	4
What is representational theory of measurement Explain in detail	Measurement tells us the rules laying the ground work for developing and reasoning about all kinds of measurement. It is the mapping from the empirical world to the formal relational world. Consequently, a measure is the number or symbol assigned to an entity by this mapping in order to characterize an entity.  Empirical Relations:-  In the real world, we understand the things by comparing them, not by assigning numbers to them.  For example, to compare height, we use the terms ‘taller than’, higher than’. Thus, these ‘taller than’, higher than’ are empirical relations for height.  We can define more than one empirical relation on the same set.  Empirical relations in the real world can be mapped to a formal mathematical world. Mostly these relations reflect the personal preferences.	4
What is representational theory of measurement Explain in detail	"In the representational theory, measurement is defined as ""the correlation of numbers with entities that are not numbers”. The most technically elaborated form of representational theory is also known as additive conjoint measurement. In this form of representational theory, numbers are assigned based on correspondences or similarities between the structure of number systems and the structure of qualitative systems. A property is quantitative if such structural similarities can be established. In weaker forms of representational theory, such as that implicit within the work of Stanley Smith Stevens, numbers need only be assigned according to a rule.  The concept of measurement is often misunderstood as merely the assignment of a value, but it is possible to assign a value in a way that is not a measurement in terms of the requirements of additive conjoint measurement. One may assign a value to a person's height, but unless it can be established that there is a correlation between measurements of height and empirical relations, it is not a measurement according to additive conjoint measurement theory."	4
What is representational theory of measurement Explain in detail	The process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined rules.  The  idea behind the representational theory of measurement is elaborated in the following observations.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  EMPIRICAL RELATIONS SYSTEM       The aim is to be able to compare entities. However, it is not automatic that any two   entities E  1   and E  2   are comparable. A comparison between E  1   and E  2   is about relating E  1     and E  2   with respect to some (salient) attribute.      Definition [Empirical Relations System]. Let E is the set of entities and R  E   is the set of   empirical relations for a (salient) attribute A. Then, an empirical relations system is a   couple (E, R  E  ).      The purpose of (E, R  E  ) is to define the intuitive meaning of A by identifying the   empirical relations that hold for A.      A relation can be defined on a single element of a set, or a collection of elements of a   set.      5.1. ORDERS OF RELATIONS      The relations can be classified in different ways, including whether they are unary,   binary, ternary, and so on.      For example, for the attribute height of entities that are humans, a unary empirical   relation is “is tall”.  Empirical system relation:  The aim is to be able to compare entities. However, it is not automatic that any two entities E1 and E2 are comparable. A comparison between E1 and E2 is about relating E1 and E2 with respect to some (salient) attribute.    Definition. Let E is the set of entities and RE is the set of empirical relations for a (salient) attribute A. Then, an empirical relations system is a couple (E, RE).    The purpose of (E, RE) is to define the intuitive meaning of A by identifying the empirical relations that hold for A.    A relation can be defined on a single element of a set, or a collection of elements of a set.   Orders of relation:  The relations can be classified in different ways, including whether they are unary, binary, ternary, and so on.  For example, for the attribute height of entities that are humans, a unary empirical relation is “is tall”. For example, for the attribute height of entities that are humans, a binary empirical relation is “is taller than”.  It is possible to have other binary relations, such as, “much taller than”.	4
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  Regression based model, etc.  (ii)Productivity models and measures:-  -There are several measures and models or assessing the staff productivity during software process and indifferent environments.  -The productivity is a function of value and cast; each is then decomposed into other aspects expressed in measurable form.  (iii)Data collection:-  -The quality or any measurement program is clearly dependent on careful data collection. But collecting data is easier to said than done when data must be collected across a diverse set of projects.  -Data collection must be consistent and complete. It must be planned and executed in a careful and sensitive manner.  -Data collection is also essential for scientific investigation of relationships and trends.  (iv)Quality Models and measures:-  -Quality models such as Bohem’s quality model and MaCall quality model are used with productivity models.  -These models are constructed in a tree like fashion where upper branches holds high level quality factors of software product such as reliability, usability, etc.  -Each quality factor is composed of low level criteria such as structure, traceability, etc.  -Criteria is easier to understand and measure than factors.	4
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i)Cost effort estimation:-  -In the cost effort estimation, we use the models to predict the cost of the project before starting the work of developing the software life cycle.  -Examples:- Bohem’s Cocomo model, Putnam’s model, Regression based model, etc.  (ii) Productivity models and measures:-  -There are many measures and models or evaluating the staff productivity at the time of process and common environments.  -The productivity is a function of value and cost; they are later divided into other aspects which can be measured.  (iii)Data collection:-  -The quality of the measurement program depend on how carefully the data is collected. Collecting the data is not an easy task when data to be collected is diverse set of projects.  -Data collection must be steady and complete. It should be planned as well as executed in a careful and sensitive manner.  (iv)Quality models and measures:-  -Quality models like the Bohem’s quality model and MaCall quality model are used with productivity models.  -These Models are constructed in a tree like fashion where the branches on the upper side contain the high level quality factors of the software product such as reliability, usability, user friendliness, etc.  -Each of the quality factor contains the low level criteria such as structure, traceability, etc.  -These low level criteria are easy to understand as  well as easy to measure the factors.	4
what is software metrics Explain scope of software metrics in detail	Software metrics refer to the standard of measure which holds properties of  any software system or processes. It provides the following activities for this purpose-  (i)Cost and effort estimation:-  Cost and effort estimation models determine the the probable cost of a project during the beginning phases of software development production.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  Regression based model, etc.  (ii)Productivity models and measures:-  Productivity is a function of the value and cost incurred, both of which can be broken down into measurable forms.  The staff productivity during a software process and in varying environments can be assessed by several measures and models.  (iii)Data collection:-  - data collection is significant when it comes to the quality of any measurement program.  Although, data collection becomes challenging when data is collected across diverse range of projects.  - data collection requires consistent and whole information, planned and executed in a careful and sensitive manner with utmost integrity of research.  - scientific investigation of relationships and trends in society is also heavily dependent on the data collected for accurate results.    (iv)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.	4
what is software metrics Explain scope of software metrics in detail	A software metric is a measure of software characteristics which are quantifiable or countable. Software metrics are important for many reasons, including measuring software performance, planning work items, measuring productivity, and many other uses.    Within the software development process, there are many metrics that are all related to each other. Software metrics are related to the four functions of management: Planning, Organization, Control, or Improvement.  Benefits of Software Metrics:-  The goal of tracking and analyzing software metrics is to determine the quality of the current product or process, improve that quality and predict the quality once the software development project is complete.	4
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i)Cost effort estimation:-  -In the cost effort estimation, we use the models to predict the cost of the project before starting the work of developing the software life cycle.  -Examples:- Bohem’s Cocomo model, Putnam’s model, Regression based model, etc.  (ii)Structure and complexity:-  -The structural attributes of representation of software are measured which are available in advanced of execution.  -Structure and complexity attributes are used to predict the part of the system which are less reliable, difficult to test or which requires more maintenance than the other parts of the system.  (viii)Management by metrics:-  -Management is an important part of software project management.  -Customers as well as the developers use charts and graphs to measure the progress and help them to keep track of the project.  -Measurement shows the customers and the developers how the project is doing.  (iii) Evaluation of methods and tools:-  -New methods and tools are used by many organization to make the product more cheaper.  -The organizations perform experiments where they run case studies or administrator surveys to help them decide if a tool or a method is making a positive effect in their particular situation.  -This evaluation is dependent upon good experimental design, identifying the factors that can affect the outcome and correct measurement if factor attributes.  (iv)Capabilities maturity assessment:-  -Capability Maturity Model (CMM) is an updated version of the process maturity model.  -To use this model, the contractor have to answer 100 questions to decide the contractor’s actual practices. The result grade was reported on the ordinal scale having five level i.e.: “1” to “5”.	4
Explain meaningfulness in measurement	-Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Measurement making the things measurable:-  -Measuring makes nonmeasurable things measurable.  -Measuring the unmeasurable improves our understanding of particular entities and attributes, making engineering more powerful.  Measurement in software engineering:-  -Software engineer describes the collection of techniques that apply on	5
Explain meaningfulness in measurement	Objectives of software measurement:-  (i)Manager’s perspective:-  (a)What does each process cost?  (b)How productive is the staff?  (c)How good is the code being with the product?  (ii)Engineer’s perspective:-  (a)Are the requirements testable?  (b)Have the found all the faults?  (c)Have we met our product or process goals?  (d)What will happen in future?  Measurement in everyday life:-  -Measurement is used in economics to determine price of the products in the market.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose and determine what disease a patient is suffering from.  Measurement making the things measurable:-  -Measuring makes not measurable things measurable.  -Measuring the unmeasurable helps to understand the particular entities and attributes, it also helps in making engineering more powerful.  Measurement in software engineering:-  -Software engineer describes the collection of techniques that apply on engineering approach to the construction and support of software product.  - Software engineers have various activities like managing, planning, casting, analyzing, specifying, designing, testing and maintaining.  Measurement is used in all activities, so that we can understand and control the activities.  Neglect of measurement in engineering:-  -The software cannot be measured therefore we fail to set measurable targets for our software products. For example, in earlier phase we promise that our product will be user-friendly, reliable and maintainable but once project is complete, we can’t tell if we have met our goals.	5
Explain meaningfulness in measurement	Measurement is that operation by which we compare a physical quantity with a unit chosen for that quantity. In science and engineering, we perform experiments. During experiments, we have to take readings. Thus all these experiments require some measurements to be made. During the production of mechanical products, we have to measure the parts so as to find whether the part is made as per the specifications. Thus measurements are necessary for production and quality control.  Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  When measurements are taken directly using tools, instruments, or other calibrated measuring devices, they are called direct measurements e.g. Measurement of the length of a table by meter scale.  Indirect Measurement:  When the measurement must be done through a formula or other calculations, the measurement is called indirect measurement e.g. Measurement of the radius of the Earth.	5
Explain meaningfulness in measurement	Scientists use many skills as they investigate the world around them. They make observations by gathering information with their senses. Some observations are simple. For example, a simple observation would be figuring out the color or texture of an object. However, if scientists want to know more about a substance, they may need to take measurements. Measurement is perhaps one of the most fundamental concepts in science.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -Measurement in weather system are used to predict weather.  Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  Direct measurement' refers to measuring exactly the thing that you are looking to measure.	5
Explain meaningfulness in measurement	Measurement is the assignment of a number to a characteristic of an object or event, which can be compared with other objects or events. The scope and application of measurement are dependent on the context and discipline.  -Taking proper medicine. If you an illness (whether serious or minor) you need to take your medicine and take it in the proper amount. If you take too little or too much then you are not going to get the proper benefit from it.  -Making estimations. If you have to be at school at 9am what time would you have to leave in the morning if you are at your friend's house. Often we do not have an exact answer so we need to make an estimation which is essentially a guess of measurement.  -Keeping yourself warm or cool. If the temperature outside dips or increases you have to make an adjustment on your thermostat in order to remain at a safe and healthy temperature. Understanding the measurement scale of a thermostat is critical in this regard or else you may find yourself feeling rather uncomfortable.  -Understanding weight. Is that object too heavy to pick up by yourself or do you need to use something to lift it? Some may think this is not important but it is pretty easy to hurt yourself if you lift objects that are too heavy.	5
Explain the objectives for software measurement with the perspective of manager and engineer	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  -Entity is an object (such as person or room) or events (such as journey or testing phase of software) in the real world.  -An attribute is a feature or property of an entity (such as color of room, the cost of journey or elapsed time of testing phase).  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -software engineering describes the collection of techniques that apply an engineering approach to the construction and support of software product.	5
Explain the objectives for software measurement with the perspective of manager and engineer	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -With the help of measurement we can get the information about attributes of entities.  -Entity is an objects like as person or room or even events such as journey or testing phase of software in the real world.  -An attribute is a feature, quality or property of an entity such as color of room, the cost of journey or elapsed time of testing phase.  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification.  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is also used in economics to determine prices of the products in the market.  -Measurement in radar system enables to detect aircraft as well as the submarines in water.  -Measurement is also used in the hospitals to help the doctors to  specify the disease the patient is suffering from.  -In such a way the products quality is measured and is priced according to it.  -Software engineering define the collection of techniques that apply an engineering approach to construct and support the software product.  -Software engineering includes various activities like managing, planning, costing, analyzing, specifying, designing, testing and maintenance.  -Measurement in software is used in all above activities, so each activity is understood and controlled.	5
Explain the objectives for software measurement with the perspective of manager and engineer	Do you find development planning or improvement efforts to be less effective than expected? Are unexpected problems surfacing after release or during development? How many infrastructure problems are directly related to code quality or undetected risks? Software measurement is an engineering process meant to aid in assessing these areas:  Productivity  Code Quality  Code Complexity  Software Risk  Technical Debt  Software Size  Compliance to Standards and Regulations  If your developers are not producing high-quality code or not meeting architecture standards, then numerous problems are likely to surface during or after application implementation. These include increased IT costs, additional maintenance efforts, and reduced security within a complex infrastructure. Software measurement and metrics provide an accurate, objective approach to evaluating these key factors. By having objective metrics, you can more easily identify improvement areas and monitor each effort made toward better development practices.  Software Measurement Function Points:-  Several forms of analysis may be used to assess an application; however, software measurement function points provide a repeatable evaluation method. A function point represents a defined business task to be accomplished by an application. They are based on identified end user requirements and allow organizations to obtain a benchmarking score for continuously monitoring the above items. Each application must accomplish a set number of business functions, which can be automatically evaluated to aid in achieving:  Vulnerability Detection  Quality Assessments  Productivity Enhancements  Compliance Management  Development Practice Improvements	5
Explain the objectives for software measurement with the perspective of manager and engineer	Software Metrics is a collective term used to describe the very wide range of activities concerned with measurement in software engineering  Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined unambiguous rules.  Once measures are collected they are converted into metrics for use. IEEE defines metric as 'a quantitative measure of the degree to which a system, component, or process possesses a given attribute.' The goal of software metrics is to identify and control essential parameters that affect software development. Other objectives of using software metrics are listed below:  -Measuring the size of the software quantitatively.  -Assessing the level of complexity involved.  -Assessing the strength of the module by measuring coupling.  -Assessing the testing techniques.  -Specifying when to stop testing.  -Determining the date of release of the software.  -Estimating cost of resources and project schedule.  Software metrics help project managers to gain an insight into the efficiency of the software process, project, and product. This is possible by collecting quality and productivity data and then analyzing and comparing these data with past averages in order to know whether quality improvements have occurred. Also, when metrics are applied in a consistent manner, it helps in project planning and project management activity. For example, schedule-based resource allocation can be effectively enhanced with the help of metrics.	5
Explain the objectives for software measurement with the perspective of manager and engineer	The framework for software measurement is based on four principles −  Classifying the entities to be examined  Determining relevant measurement goals  Identifying the level of maturity that the organization has reached  Classifying the Entities to be Examined  In software engineering, mainly three classes of entities exist. They are −  Processes  Products  Resources  The different attributes that can be measured for each of the entities are as follows −  Processes  Processes are collections of software-related activities. Following are some of the internal attributes that can be measured directly for a process   The duration of the process or one of its activities  The effort associated with the process or one of its activities  The number of incidents of a specified type arising during the process or one of its activities  The different external attributes of a process are cost, controllability, effectiveness, quality and stability.  Products  Products are not only the items that the management is committed to deliver but also any artifact or document produced during the software life cycle.  The different internal product attributes are size, effort, cost, specification, length, functionality, modularity, reuse, redundancy, and syntactic correctness. Among these size, effort, and cost are relatively easy to measure than the others.  The different external product attributes are usability, integrity, efficiency, testability, reusability, portability, and interoperability. These attributes describe not only the code but also the other documents that support the development effort.  Resources  These are entities required by a process activity. It can be any input for the software production. It includes personnel, materials, tools and methods.  The different internal attributes for the resources are age, price, size, speed, memory size, temperature, etc. The different external attributes are productivity, experience, quality, usability, reliability, comfort etc.  Determining Relevant Measurement Goals  A particular measurement will be useful only if it helps to understand the process or one of its resultant products. The improvement in the process or products can be performed only when the project has clearly defined goals for processes and products. A clear understanding of goals can be used to generate suggested metrics for a given project in the context of a process maturity framework.	5
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation:-We define Empirical relation on individual (single) element or entity.  (b)Binary relation:-We define Empirical relation between exactly two entities.  (c)Ternary relation:- We define relation between more than two entities.  (ii)Rules of mapping:-  -Real world is the domain of mapping and mathematical world is range of mapping.  -When we have map the attribute of entity from real world to mathematical world, we have many choices for mapping and range. i.e.:-We can use real numbers, integers or non-numeric symbols in mathematical system.  -Mapping may be different depending upon conventions we adopt.	5
What is representational theory of measurement Explain in detail	There are several types of representational theory for measurement and some of them are given below  (i)Empirical relation:-In Empirical relation there are three types of relations depending on the relation we define on single element of a set or on collection  of elements.  (a)Unary relation:-We define the Empirical relation on single entity.  (b)Binary relation:-We define Empirical relation between exactly two entities.  (c)Ternary relation :- We define relation between more than two entities. For example, if there are three instances as given below  A is taller than B.  A is tallest, B is tall, C is not tall.  C is taller than A when sitting on B’s shoulder.  Given any two people, x and y, we can say that   x  is taller than y or  y is taller than x.  Therefore we can say that “taller than” is a Empirical relation (binary) for height.  Similarly “is tall” is a unary Empirical relation.  (ii) Rules of mapping :-  -Real world is a domain of mapping and mathematical words is range of mapping.	5
What is representational theory of measurement Explain in detail	Measurement tells us the rules laying the ground work for developing and reasoning about all kinds of measurement. It is the mapping from the empirical world to the formal relational world. Consequently, a measure is the number or symbol assigned to an entity by this mapping in order to characterize an entity.  Empirical Relations:-  In the real world, we understand the things by comparing them, not by assigning numbers to them.  For example, to compare height, we use the terms ‘taller than’, higher than’. Thus, these ‘taller than’, higher than’ are empirical relations for height.  We can define more than one empirical relation on the same set.  Empirical relations in the real world can be mapped to a formal mathematical world. Mostly these relations reflect the personal preferences.  The Representational Condition of Measurement:-  The representational condition asserts that a measurement mapping (M) must map entities into numbers, and empirical relations into numerical relations in such a way that the empirical relations preserve and are preserved by numerical relations.	5
What is representational theory of measurement Explain in detail	"In the representational theory, measurement is defined as ""the correlation of numbers with entities that are not numbers”. The most technically elaborated form of representational theory is also known as additive conjoint measurement. In this form of representational theory, numbers are assigned based on correspondences or similarities between the structure of number systems and the structure of qualitative systems. A property is quantitative if such structural similarities can be established. In weaker forms of representational theory, such as that implicit within the work of Stanley Smith Stevens, numbers need only be assigned according to a rule.  The concept of measurement is often misunderstood as merely the assignment of a value, but it is possible to assign a value in a way that is not a measurement in terms of the requirements of additive conjoint measurement. One may assign a value to a person's height, but unless it can be established that there is a correlation between measurements of height and empirical relations, it is not a measurement according to additive conjoint measurement theory. Likewise, computing and assigning arbitrary values, like the ""book value"" of an asset in accounting, is not a measurement because it does not satisfy the necessary criteria."	5
What is representational theory of measurement Explain in detail	The process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined rules.  The  idea behind the representational theory of measurement is elaborated in the following observations.  EMPIRICAL RELATIONS SYSTEM     The aim is to be able to compare entities. However, it is not automatic that any two entities E1 and E2 are comparable. A comparison between E1 and E2 is about relating E1 and E2 with respect to some (salient) attribute.    Definition. Let E is the set of entities and RE is the set of empirical relations for a (salient) attribute A. Then, an empirical relations system is a couple (E, RE).    The purpose of (E, RE) is to define the intuitive meaning of A by identifying the empirical relations that hold for A.    A relation can be defined on a single element of a set, or a collection of elements of a set.   elements of a set.   ORDERS OF RELATIONS:-  The relations can be classified in different ways, including whether they are unary, binary, ternary, and so on.  For example, for the attribute height of entities that are humans, a unary empirical relation is “is tall”. For example, for the attribute height of entities that are humans, a binary empirical relation is “is taller than”.  It is possible to have other binary relations, such as, “much taller than”.  THE REPRESENTATION: THE MAPPING OF RELATIONS FROM THE   REAL WORLD TO THE MATHEMATICAL WORLD  THE REPRESENTATION: THE MAPPING OF RELATIONS FROM THE REAL WORLD TO THE MATHEMATICAL WORLD:-  A mapping from the empirical world to the formal, relational world.  This mapping, say, M, is called a representation  For example, the range could consist of integers,  real numbers, or non-numerical symbols  Another example, for the attribute height of entities that are humans, a unary empirical relation is “is tall”. In this case, the empirical relation “is tall” can be mapped to, for example, the numerical relation “x > 50”.     Another example, for the attribute height of entities that are humans, a binary empirical relation is “is taller than”. In this case, the empirical relation “is taller than” can be mapped, for example, to the numerical relation “x > y”	5
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  Regression based model, etc.  (ii)Data collection:-  -The quality or any measurement program is clearly dependent on careful data collection. But collecting data is easier to said than done when data must be collected across a diverse set of projects.  -Data collection must be consistent and complete. It must be planned and executed in a careful and sensitive manner.  -Data collection is also essential for scientific investigation of relationships and trends.  (iii)Quality Models and measures:-  -Quality models such as Bohem’s quality model and MaCall quality model are used with productivity models.  -These models are constructed in a tree like fashion where upper branches holds high level quality factors of software product such as reliability, usability, etc.  -Each quality factor is composed of low level criteria such as structure, traceability, etc.  -Criteria is easier to understand and measure than factors.  (iv)Performance evaluation and models:-  -Performance is one of the most aspect of quality.  -Performance evaluation includes characteristics such as response time and completion rates.  -Performance evaluation covers internal working  of system including efficiency of complexity of algorithm.  (v)Structure and complexity :-  -We measure structural attributes of representation of software which are available in advanced of execution.  -These structural attributes are used to predict which part of system are less reliable, more difficult to test or requires more maintenance than others.	5
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i)Cost effort estimation:-  -In the cost effort estimation, we use the models to predict the cost of the project before starting the work of developing the software life cycle.  -Examples:- Bohem’s Cocomo model, Putnam’s model, Regression based model, etc.  (ii) Productivity models and measures:-  -There are many measures and models or evaluating the staff productivity at the time of process and common environments.  -The productivity is a function of value and cost; they are later divided into other aspects which can be measured.  (iii)Data collection:-  -The quality of the measurement program depend on how carefully the data is collected. Collecting the data is not an easy task when data to be collected is diverse set of projects.  -Data collection must be steady and complete. It should be planned as well as executed in a careful and sensitive manner.  (iv)Quality models and measures:-  -Quality models like the Bohem’s quality model and MaCall quality model are used with productivity models.  -These Models are constructed in a tree like fashion where the branches on the upper side contain the high level quality factors of the software product such as reliability, usability, user friendliness, etc.  -Each of the quality factor contains the low level criteria such as structure, traceability, etc.  -These low level criteria are easy to understand as  well as easy to measure the factors.  (v)Reliability models:-  -Reliability is one of the most important component of quality model but we need to predict and measure the reliability of the product.  -Reliability shows probability of the failure free operation.  -There are several parameters for growth of the reliability of the models to increase the reliability of the product. For example: Moronda, Littlewood, NHPP model.	5
what is software metrics Explain scope of software metrics in detail	Software metrics refer to the standard of measure which holds properties of  any software system or processes. It provides the following activities for this purpose-  (i)Reliability models:-  -Reliability functions as a significant factor is quality model, although it needs to be predicted and measured, therefore creating a specialization in itself in reliability modeling and prediction.  - reliability refers to the probability of failure free operation of any system.  - several parametric reliability growth models exist to influence the reliability of a product. Example-  Moronda, Littlewood vorall and Nonhomogeneous poisons process (NHPP)  Model.  (ii)Performance evaluation and models:-  -Performance evaluation is an integral aspect of quality.  -Performance evaluation is a detailed observation of various factors, both internal and       external.  - external system performance factors like response times and completion rates.   - internal factors like working of the efficacy of algorithms.  (iii)Structure and complexity :-  - the structural attributes of representation of software are measured which are available in advance of execution.  - the structural attributes help in prediction of the reliability, the difficulty and the requirement of maintenance of a part of any system.  (iv)Management by metrics:-  - managing a software project requires a vital role of measurement.  - measurement-based charts are highly reliable for customers, users, and developers alike to track the project’s progress.  - several organizations determine a specific set of measurements and reporting methods to compare and contrast the project.  - it helps in making customers understand the project progress better even without any pre requisite knowledge in software terminology or jargon.  (v)Evaluation of Methods and tools:-  - new methods and tools are devised by organizations to make products better and cheaper.  - these new methods and tools are tested, experimented and surveyed to decide the potential outcome it will make in the particular situation.  - this evaluation is carried out with good experimental design, appropriate identification of factors which affect outcome and proper measurements of factor attributes.	5
what is software metrics Explain scope of software metrics in detail	A software metric is a measure of software characteristics which are quantifiable or countable. Software metrics are important for many reasons, including measuring software performance, planning work items, measuring productivity, and many other uses.    Within the software development process, there are many metrics that are all related to each other. Software metrics are related to the four functions of management: Planning, Organization, Control, or Improvement.  Benefits of Software Metrics:-  The goal of tracking and analyzing software metrics is to determine the quality of the current product or process, improve that quality and predict the quality once the software development project is complete. On a more granular level, software development managers are trying to:  Increase return on investment (ROI)  Identify areas of improvement  Manage workloads  Reduce overtime  Reduce costs	5
what is software metrics Explain scope of software metrics in detail	Software development metrics are quantitative measurements of a software product or project, which can help management understand software performance, quality, or the productivity and efficiency of software teams.  Metrics in Agile Software Development  The agile methodology has a unique approach to software development metrics and how to use them effectively. Leon Tranter presents three agile principles for software metrics:  Metrics should be used by the team—They should not be imposed by management, rather they should be useful for the team to assess and improve their own work.  Metrics should be part of a conversation—A metric is just a number, it should be combined into a deeper discussion about process and challenges faced by the team.  Metrics should be used as part of an investigation of the experiment—Agile teams should use metrics with a specific hypothesis in mind, not measure for the sake of measurement.  Software Development Metrics Examples:-  (i) Customer Satisfaction  A widely used and respected metric for customer satisfaction is Net Promoter Score (NPS). It a number ranging from -100 (indicating no customers refer you to others) to +100 (all customers likely to refer you to others). SurveyMonkey provides the full calculation for NPS and lets you set up a free NPS survey.  (ii) Team Velocity:-  Team Velocity measures the number of story points, quantifying the number and size of product features, completed by the team in the previous sprints. It helps to understand how much value the team is providing to customers in a given time period.  (iii) Release Burndown:-  A Release Burndown chart can help you understand, across an entire software release, how development is progressing, how much of the planned software functionality remains to be done, and when you can expect the release to be completed.	5
